Order ID,Customer Id,Order Date,Order Amount
ORD-850020,DD37Cf93aecA6Dc,2022-11-13,69.15
ORD-727234,1Ef7b82A4CAAD10,2022-07-11,103.7
ORD-566960,1Ef7b82A4CAAD10,2022-06-21,282.11
ORD-405628,1Ef7b82A4CAAD10,2022-02-15,246.35
ORD-278274,6F94879bDAfE5a6,2022-08-21,305.91
ORD-889852,5Cef8BFA16c5e3c,2022-10-29,340.08
ORD-559451,053d585Ab6b3159,2022-04-26,34.88
ORD-477812,053d585Ab6b3159,2022-06-10,38.11
ORD-354079,2d08FB17EE273F4,2022-01-18,81.37
ORD-613758,EA4d384DfDbBf77,2022-02-23,119.08
ORD-545101,EA4d384DfDbBf77,2022-10-07,23.44
ORD-104014,EA4d384DfDbBf77,2022-12-08,44.42
ORD-156958,EA4d384DfDbBf77,2022-06-04,35.0
ORD-276089,EA4d384DfDbBf77,2022-09-30,188.83
ORD-730152,0e04AFde9f225dE,2022-10-26,123.41
ORD-467654,C2dE4dEEc489ae0,2022-06-19,165.74
ORD-335362,8C2811a503C7c5a,2022-11-02,201.8
ORD-764076,216E205d6eBb815,2022-11-12,71.61
ORD-320984,216E205d6eBb815,2022-02-05,160.09
ORD-364512,CEDec94deE6d69B,2022-09-21,121.06
ORD-694319,e35426EbDEceaFF,2022-05-22,220.73
ORD-548982,A08A8aF8BE9FaD4,2022-05-23,47.09
ORD-766326,6fEaA1b7cab7B6C,2022-12-08,39.77
ORD-152921,6fEaA1b7cab7B6C,2022-03-04,400.86
ORD-384821,8cad0b4CBceaeec,2022-11-10,196.9
ORD-131024,8cad0b4CBceaeec,2022-06-29,3.96
ORD-284078,a5DC21AE3a21eaA,2022-02-23,77.02
ORD-213632,F8Aa9d6DfcBeeF8,2022-09-21,146.96
ORD-103051,F160f5Db3EfE973,2022-04-18,97.52
ORD-711523,F160f5Db3EfE973,2022-09-19,5.31
ORD-549395,F160f5Db3EfE973,2022-12-16,77.79
ORD-827975,0F60FF3DdCd7aB0,2022-11-04,14.24
ORD-333841,9F9AdB7B8A6f7F2,2022-05-04,125.38
ORD-322866,FBd0Ded4F02a742,2022-05-25,50.89
ORD-834994,2FB0FAA1d429421,2022-04-02,136.27
ORD-650233,010468dAA11382c,2022-08-17,20.37
ORD-368093,010468dAA11382c,2022-10-06,55.92
ORD-200235,eC1927Ca84E033e,2022-05-09,19.03
ORD-903328,09D7D7C8Fe09aea,2022-08-27,28.8
ORD-763165,aBdfcF2c50b0bfD,2022-04-28,125.38
ORD-276615,b92EBfdF8a3f0E6,2022-08-25,32.84
ORD-234415,b92EBfdF8a3f0E6,2022-07-08,133.9
ORD-765022,b92EBfdF8a3f0E6,2022-03-10,94.6
ORD-814998,b92EBfdF8a3f0E6,2022-03-17,83.48
ORD-955474,b92EBfdF8a3f0E6,2022-03-27,1.45
ORD-554605,3B5dAAFA41AFa22,2022-08-08,4.71
ORD-965264,EDA69ca7a6e96a2,2022-04-04,193.42
ORD-291475,64DCcDFaB9DFd4e,2022-07-23,1.73
ORD-876665,679c6c83DD872d6,2022-12-07,64.15
ORD-555968,679c6c83DD872d6,2022-09-11,56.89
ORD-388790,679c6c83DD872d6,2022-09-07,95.67
ORD-460260,679c6c83DD872d6,2022-04-10,4.64
ORD-533374,7Ce381e4Afa4ba9,2022-09-07,270.96
ORD-371967,A09AEc6E3bF70eE,2022-09-14,77.52
ORD-640652,A09AEc6E3bF70eE,2022-01-04,95.67
ORD-288751,A09AEc6E3bF70eE,2022-09-04,288.69
ORD-149115,A09AEc6E3bF70eE,2022-06-09,281.73
ORD-249143,aA9BAFfBc3710fe,2022-06-27,85.18
ORD-453824,E11dfb2DB8C9f72,2022-06-28,171.84
ORD-990123,889eCf90f68c5Da,2022-11-19,171.72
ORD-604999,7a1Ee69F4fF4B4D,2022-11-26,23.15
ORD-251836,7a1Ee69F4fF4B4D,2022-01-12,10.62
ORD-767521,7a1Ee69F4fF4B4D,2022-09-10,9.92
ORD-724674,dca4f1D0A0fc5c9,2022-08-03,7.38
ORD-649639,dca4f1D0A0fc5c9,2022-04-03,186.35
ORD-437497,dca4f1D0A0fc5c9,2022-04-25,33.11
ORD-103267,dca4f1D0A0fc5c9,2022-11-10,119.32
ORD-257164,dca4f1D0A0fc5c9,2022-03-16,209.94
ORD-992323,dca4f1D0A0fc5c9,2022-08-05,162.7
ORD-323992,dca4f1D0A0fc5c9,2022-06-13,19.53
ORD-643176,dca4f1D0A0fc5c9,2022-07-11,85.78
ORD-969474,17aD8e2dB3df03D,2022-02-05,46.52
ORD-296582,2f79Cd309624Abb,2022-04-06,41.67
ORD-500573,2f79Cd309624Abb,2022-08-12,195.48
ORD-267280,2f79Cd309624Abb,2022-07-02,138.98
ORD-737144,2f79Cd309624Abb,2022-12-21,10.88
ORD-998320,6e5ad5a5e2bB5Ca,2022-03-03,68.63
ORD-219180,6e5ad5a5e2bB5Ca,2022-07-06,10.53
ORD-179459,6e5ad5a5e2bB5Ca,2022-08-21,187.83
ORD-825256,6e5ad5a5e2bB5Ca,2022-10-11,299.7
ORD-820255,7E441b6B228DBcA,2022-02-21,85.2
ORD-105486,7E441b6B228DBcA,2022-05-24,59.5
ORD-727083,D3fC11A9C235Dc6,2022-01-25,80.68
ORD-449652,30Dfa48fe5Ede78,2022-02-22,156.82
ORD-389336,fD780ED8dbEae7B,2022-02-08,9.56
ORD-252617,300A40d3ce24bBA,2022-07-05,5.93
ORD-989465,300A40d3ce24bBA,2022-05-13,133.57
ORD-174460,300A40d3ce24bBA,2022-08-23,122.36
ORD-727438,300A40d3ce24bBA,2022-03-17,116.48
ORD-313945,300A40d3ce24bBA,2022-09-10,182.31
ORD-383821,300A40d3ce24bBA,2022-05-21,25.18
ORD-818216,300A40d3ce24bBA,2022-10-10,122.5
ORD-314532,300A40d3ce24bBA,2022-01-29,8.87
ORD-389106,300A40d3ce24bBA,2022-05-16,46.88
ORD-257504,300A40d3ce24bBA,2022-12-08,167.56
ORD-792440,283DFCD0Dba40aF,2022-10-28,139.99
ORD-266981,F4Fc91fEAEad286,2022-09-09,8.72
ORD-303196,80F33Fd2AcebF05,2022-12-30,81.74
ORD-743162,Aa20BDe68eAb0e9,2022-07-21,236.82
ORD-587462,Aa20BDe68eAb0e9,2022-05-06,67.85
ORD-629036,Aa20BDe68eAb0e9,2022-08-30,63.24
ORD-748249,Aa20BDe68eAb0e9,2022-05-28,12.65
ORD-506332,Aa20BDe68eAb0e9,2022-12-27,136.34
ORD-663586,e898eEB1B9FE22b,2022-12-14,327.47
ORD-592734,e898eEB1B9FE22b,2022-11-08,75.16
ORD-342804,e898eEB1B9FE22b,2022-05-14,162.0
ORD-604492,e898eEB1B9FE22b,2022-06-09,81.19
ORD-858574,e898eEB1B9FE22b,2022-05-29,4.44
ORD-455540,e898eEB1B9FE22b,2022-07-22,251.47
ORD-359747,e898eEB1B9FE22b,2022-08-15,118.88
ORD-738353,e898eEB1B9FE22b,2022-02-16,99.26
ORD-924845,e898eEB1B9FE22b,2022-05-23,60.61
ORD-601108,faCEF517ae7D8eB,2022-02-23,87.78
ORD-250159,c09952De6Cda8aA,2022-01-12,318.7
ORD-111023,f3BEf3Be028166f,2022-12-24,60.82
ORD-166203,C6F2Fc6a7948a4e,2022-01-08,18.59
ORD-614723,c8FE57cBBdCDcb2,2022-03-31,49.15
ORD-730075,B5acdFC982124F2,2022-06-27,30.92
ORD-227016,B5acdFC982124F2,2022-08-16,428.39
ORD-802965,B5acdFC982124F2,2022-05-25,32.82
ORD-417428,B5acdFC982124F2,2022-07-31,92.33
ORD-983439,B5acdFC982124F2,2022-02-15,7.93
